=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.03.31 10:24:38 =~=~=~=~=~=~=~=~=~=~=~=
Vibration OFF
Down threshold:   f_down_thr = 475
 
Up threshold:   f_up_thr = 64
Up threshold:   f_up_thr = 31
Up threshold:   f_up_thr = 33
 
Up threshold:   f_up_thr = 324
Down threshold:   f_down_thr = 439
Up threshold:   f_up_thr = 377
Trial 1 started
time, up, down, lbl_up, lbl_down
5.7510, 389, 515, 0, 0
5.7760, 389, 515, 0, 0
5.8010, 390, 515, 0, 0
5.8260, 390, 515, 0, 0
5.8510, 391, 515, 0, 0
5.8760, 391, 515, 0, 0
5.9010, 391, 516, 0, 0
5.9260, 391, 515, 0, 0
5.9510, 391, 515, 0, 0
5.9760, 390, 515, 0, 0
6.0010, 390, 515, 0, 0
6.0260, 390, 514, 0, 0
6.0500, 389, 515, 0, 0
6.0760, 390, 515, 0, 0
6.1000, 391, 513, 0, 0
6.1260, 391, 513, 0, 0
6.1510, 392, 512, 0, 0
6.1750, 393, 509, 0, 0
6.2010, 395, 507, 0, 0
6.2250, 398, 503, 0, 0
6.2500, 402, 499, 0, 0
6.2760, 404, 498, 0, 0
6.3000, 405, 498, 0, 0
6.3260, 407, 494, 0, 0
6.3500, 410, 490, 0, 0
6.3750, 412, 487, 0, 0
6.4000, 415, 484, 0, 0
6.4250, 417, 483, 0, 0
6.4500, 416, 486, 0, 0
6.4750, 417, 485, 0, 0
6.5000, 418, 482, 0, 0
6.5250, 418, 481, 0, 0
6.5500, 419, 480, 0, 0
6.5750, 420, 479, 0, 0
6.6000, 420, 484, 0, 0
6.6250, 419, 486, 0, 0
6.6490, 420, 486, 0, 0
6.6750, 421, 486, 0, 0
6.6990, 421, 487, 0, 0
6.7250, 421, 486, 0, 0
6.7500, 421, 486, 0, 0
6.7740, 421, 487, 0, 0
6.8000, 421, 487, 0, 0
6.8240, 421, 487, 0, 0
6.8490, 419, 487, 0, 0
6.8750, 419, 488, 0, 0
6.8990, 418, 489, 0, 0
6.9250, 417, 490, 0, 0
6.9490, 417, 490, 0, 0
6.9740, 415, 491, 0, 0
7.0000, 410, 493, 0, 0
7.0240, 406, 495, 0, 0
7.0490, 405, 495, 0, 0
7.0740, 403, 496, 0, 0
7.0990, 399, 497, 0, 0
7.1240, 395, 499, 0, 0
7.1490, 390, 500, 0, 0
7.1740, 384, 503, 0, 0
7.1990, 384, 504, 0, 0
7.2240, 382, 505, 0, 0
7.2480, 377, 507, 0, 0
7.2740, 374, 509, 1, 0
7.2990, 373, 510, 1, 0
7.3240, 371, 511, 1, 0
7.3490, 367, 514, 1, 0
7.3730, 367, 515, 1, 0
